Timestamp,Name,DeviceProduct,DeviceVendor,DestinationAddress,DestinationUserName,SourceUserName,SourceProcessName,DeviceEventClassID,DeviceCustomString4,DeviceCustomString4Label,DeviceEventCategory,Date
2025-12-07 09:43:31,A new process has been created.,Windows,Microsoft,10.50.101.5,user001,tmtp-003672$,C:\\Windows\\System32\\svchost.exe,4688,C:\\Users\\A.Avakian\\AppData\\Local\\Microsoft\\OneDrive\\25.216.1104.0002_1\\FileCoAuth.exe -Embedding,Command Line,Microsoft-Windows-Security-Auditing,2025-12-07
2025-12-07 09:43:32,A new process has been created.,Windows,Microsoft,10.50.101.5,user001,tmtp-003672$,C:\\Windows\\System32\\SearchIndexer.exe,4688,"C:\\Windows\\system32\\SearchProtocolHost.exe Global\\UsGthrFltPipeMssGthrPipe_S-1-5-21-2466243303-2766591412-4162608119-10969479_ Global\\UsGthrCtrlFltPipeMssGthrPipe_S-1-5-21-2466243303-2766591412-4162608119-10969479 1 -2147483646 ""Software\\Microsoft\\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc"" ""DownLevelDaemon""  ""1""",Command Line,Microsoft-Windows-Security-Auditing,2025-12-07
2025-12-07 09:44:07,,,,10.14.1.72,,user001,,,,,,2025-12-07
2025-12-07 09:44:14,,,,10.10.7.21,,uclh%5Ca.avakian%40uclh.ru,,,Outlook-iOS-Android/1.0,User-Agent,,2025-12-07
2025-12-07 09:44:14,,,,10.10.7.21,,uclh%5Ca.avakian%40uclh.ru,,,Outlook-iOS-Android/1.0,User-Agent,,2025-12-07
2025-12-07 09:44:14,,,,10.10.7.21,,uclh%5Ca.avakian%40uclh.ru,,,Outlook-iOS-Android/1.0,User-Agent,,2025-12-07
2025-12-07 09:44:14,,,,10.10.7.21,,uclh%5Ca.avakian%40uclh.ru,,,Outlook-iOS-Android/1.0,User-Agent,,2025-12-07
2025-12-07 09:44:39,An account was logged off.,Windows,Microsoft,10.14.1.71,user001,,,4634,,,Microsoft-Windows-Security-Auditing,2025-12-07
2025-12-07 09:44:46,An account was logged off.,Windows,Microsoft,10.14.1.71,user001,,,4634,,,Microsoft-Windows-Security-Auditing,2025-12-07
2025-12-07 09:45:03,An account was successfully logged on.,Windows,Microsoft,10.14.1.71,user001,-,Kerberos,4624,-,Restricted admin mode,Microsoft-Windows-Security-Auditing,2025-12-07
2025-12-07 09:45:03,Group membership information.,Windows,Microsoft,10.14.1.71,user001,-,,4627,,,Microsoft-Windows-Security-Auditing,2025-12-07
